N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist,policy
200,199,0.7,0.995,-3.1442002825868487,0.011905406089112358,-2.3691758117333506,2.3810812178224627,0.022331957813283072,0.9999999999999994,0.010086458044253354,gaussian,constant_K
400,200,0.7,0.5000000000000001,-3.469447076030706e-17,0.6536524902367444,-0.6536524902367447,1.307304980473489,0.41111252253144603,0.9998471241227458,0.020068982975581594,gaussian,constant_K
800,200,0.7,0.25000000000000006,0.8233196629061688,1.041330826584788,-0.3471102755282627,1.3884411021130507,0.33952146686205553,0.9932740584644119,0.03987409612624326,gaussian,constant_K
1600,200,0.7,0.12500000000000003,1.4041803645206854,1.3491342225776652,-0.19273346036823788,1.541867682945903,0.23466609149249051,0.9530830173866089,0.07652132566578097,gaussian,constant_K
3200,200,0.7,0.06250000000000001,1.8726327660194872,1.6120379067950086,-0.10746919378633392,1.7195071005813425,0.15042249780762285,0.8507578377667013,0.13661164112434032,gaussian,constant_K
6400,200,0.7,0.03125000000000001,2.2737539976463914,1.845082931373567,-0.05951880423785698,1.904601735611424,0.09225335777566142,0.6918253234159185,0.22218165641899962,gaussian,constant_K
12800,200,0.7,0.015625000000000003,2.6291390944923902,2.0564233926700166,-0.03264164115349232,2.089065033823509,0.05489763378048995,0.5117464747774281,0.3286976512256897,gaussian,constant_K
25600,200,0.7,0.007812500000000009,2.951006803377063,2.2510744556938356,-0.017724995714124718,2.2687994514079604,0.031946258380170775,0.34753471349546955,0.4464470188877687,gaussian,constant_K
51200,200,0.7,0.003906250000000003,3.247026046703885,2.432381867133273,-0.009538752420130484,2.441920619553404,0.0182697663288498,0.21951618007206652,0.5639859293772812,gaussian,constant_K
102400,200,0.7,0.0019531249999999987,3.5223661112178624,2.6027091199245125,-0.005093364226858172,2.6078024841513705,0.010303304074302076,0.13068168131976357,0.6715006562843457,gaussian,constant_K
200,199,1.5,0.9950000000000001,-4.6436422129967525,0.008061123981426041,-1.6041636723038073,1.6122247962852334,0.009585743216685663,0.9999992208188568,0.010086450185075448,gaussian,constant_K
400,200,1.5,0.5,-1.3183898376064703e-16,0.442586711164195,-0.4425867111641951,0.8851734223283901,0.15758365819193487,0.9593645334044856,0.019256414329504798,gaussian,constant_K
800,200,1.5,0.25,1.215953686757755,0.7050828867317623,-0.2350276289105874,0.9401105156423497,0.13189380029095787,0.8277710235848584,0.03323012524455658,gaussian,constant_K
1600,200,1.5,0.12500000000000006,2.0738218313707195,0.9134959057558011,-0.13049941510797167,1.0439953208637727,0.09322142740014755,0.649372124875048,0.05213692295357219,gaussian,constant_K
3200,200,1.5,0.06250000000000001,2.765675130224558,1.0915074180330575,-0.07276716120220386,1.1642745792352613,0.06107999792397828,0.47266540512627075,0.07589891486219624,gaussian,constant_K
6400,200,1.5,0.03125,3.358087607321237,1.2493016826860823,-0.040300054280196215,1.2896017369662784,0.0381854370989603,0.3245259642582434,0.10422242992473053,gaussian,constant_K
12800,200,1.5,0.015625000000000007,3.8829527842245737,1.3923998134703706,-0.022101584340799573,1.4145013978111702,0.023090797129968338,0.2127492103801319,0.13665001948959965,gaussian,constant_K
25600,200,1.5,0.007812499999999995,4.358316425322483,1.524197559852072,-0.01200155558938643,1.5361991154414585,0.013615055854098536,0.1343677542369253,0.17261033498025444,gaussian,constant_K
51200,200,1.5,0.003906250000000003,4.795504703059123,1.6469603176905347,-0.006458667912511931,1.6534189856030468,0.007869997707220074,0.0823062195658309,0.2114629988556028,gaussian,constant_K
102400,200,1.5,0.001953125000000002,5.202152109386644,1.7622884246201076,-0.0034487053319375086,1.765737129952045,0.004476913940056046,0.04914660818282259,0.25253715222841927,gaussian,constant_K
200,199,0.7,0.995,-3.1442002825868487,0.011905406089112358,-2.3691758117333506,2.3810812178224627,0.022331957813283072,0.9999999999999994,0.010086458044253354,gaussian,sublinear_sqrt
400,399,0.7,0.9975000000000002,-3.426421226460934,0.006373902562212527,-2.5431871223229385,2.549561024885151,0.012652923307996066,1.0,0.010061178700784051,gaussian,sublinear_sqrt
800,565,0.7,0.70625,-0.6621597493259501,0.3994473366450084,-0.9603733838486374,1.3598207204936457,0.36332132934017636,0.9999970865790758,0.014210260552020763,gaussian,sublinear_sqrt
1600,800,0.7,0.5000000000000001,-3.469447076030706e-17,0.6536524902367444,-0.6536524902367447,1.307304980473489,0.41111252253144603,0.9998471241227458,0.020068982975581594,gaussian,sublinear_sqrt
3200,1131,0.7,0.35343750000000007,0.4590352809194944,0.8615801521228075,-0.47097494057559,1.3325550926983976,0.3874393900721289,0.998531101209392,0.02835376508700826,gaussian,sublinear_sqrt
6400,1600,0.7,0.25000000000000006,0.8233196629061688,1.041330826584788,-0.3471102755282627,1.3884411021130507,0.33952146686205553,0.9932740584644119,0.03987409612624326,gaussian,sublinear_sqrt
12800,2262,0.7,0.17671875000000004,1.1326979281817056,1.2024134173757401,-0.25810012811766236,1.4605135454934026,0.28584183341287933,0.9796541832934199,0.055635492066224077,gaussian,sublinear_sqrt
25600,3200,0.7,0.12500000000000003,1.4041803645206854,1.3491342225776652,-0.19273346036823788,1.541867682945903,0.23466609149249051,0.9530830173866089,0.07652132566578097,gaussian,sublinear_sqrt
51200,4525,0.7,0.08837890625000001,1.6488679858712492,1.4850639807942567,-0.14397245877009135,1.6290364395643482,0.18915577635931147,0.910299378771884,0.10337068421497965,gaussian,sublinear_sqrt
102400,6400,0.7,0.06250000000000001,1.8726327660194872,1.6120379067950086,-0.10746919378633392,1.7195071005813425,0.15042249780762285,0.8507578377667013,0.13661164112434032,gaussian,sublinear_sqrt
200,199,1.5,0.9950000000000001,-4.6436422129967525,0.008061123981426041,-1.6041636723038073,1.6122247962852334,0.009585743216685663,0.9999992208188568,0.010086450185075448,gaussian,sublinear_sqrt
400,399,1.5,0.9975,-5.060451917294264,0.004315754999475874,-1.7219862447908822,1.7263019997903581,0.005482057547390902,0.9999998102908665,0.01006117679208656,gaussian,sublinear_sqrt
800,565,1.5,0.70625,-0.9779380047510908,0.27046494184988756,-0.6502667750858997,0.9207317169357873,0.1404940230341829,0.9914915986837923,0.0140893950007745,gaussian,sublinear_sqrt
1600,800,1.5,0.5,-1.3183898376064703e-16,0.442586711164195,-0.4425867111641951,0.8851734223283901,0.15758365819193487,0.9593645334044856,0.019256414329504798,gaussian,sublinear_sqrt
3200,1131,1.5,0.3534375,0.6779452348009252,0.5833740884971236,-0.3188961305414436,0.9022702190385672,0.1491477293450868,0.9028963075922136,0.02563816967983289,gaussian,sublinear_sqrt
6400,1600,1.5,0.25,1.215953686757755,0.7050828867317623,-0.2350276289105874,0.9401105156423497,0.13189380029095787,0.8277710235848584,0.03323012524455658,gaussian,sublinear_sqrt
12800,2262,1.5,0.17671875000000004,1.6728717699984288,0.8141515641646826,-0.17475904708108858,0.9889106112457712,0.1122626602831861,0.7408758161319925,0.04207504167633723,gaussian,sublinear_sqrt
25600,3200,1.5,0.12500000000000006,2.0738218313707195,0.9134959057558011,-0.13049941510797167,1.0439953208637727,0.09322142740014755,0.649372124875048,0.05213692295357219,gaussian,sublinear_sqrt
51200,4525,1.5,0.08837890625000003,2.435198862343146,1.005533650564511,-0.09748344443073194,1.103017094995243,0.07599135943091506,0.5585626769741077,0.0634285900245937,gaussian,sublinear_sqrt
102400,6400,1.5,0.06250000000000001,2.765675130224558,1.0915074180330575,-0.07276716120220386,1.1642745792352613,0.06107999792397828,0.47266540512627075,0.07589891486219624,gaussian,sublinear_sqrt
200,60,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
400,120,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
800,240,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
1600,480,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
3200,960,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
6400,1920,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
12800,3840,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
25600,7680,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
51200,15360,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
102400,30720,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
200,60,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
400,120,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
800,240,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
1600,480,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
3200,960,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
6400,1920,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
12800,3840,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
25600,7680,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
51200,15360,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
102400,30720,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
