M_researchers,S_per_year,T_years,N_per_year,K_per_year,sigma_alpha,sigma_nu,sigma_review,accept_rate,spearman_alpha_count,spearman_alpha_count_p,spearman_alpha_truequality,top10_recall,top10_precision,pct_zero_publications,n_unique_counts,trial,regime
200,2,5,400,200,1.0,1.0,1.5,0.5,0.7925548342989086,2.0890777847142943e-44,0.9288007200180005,0.5,0.5,0.025,11,0,fixed_K
200,2,5,400,200,1.0,1.0,1.5,0.5,0.7745114031260638,3.025025847545725e-41,0.9510027750693768,0.45,0.45,0.03,11,1,fixed_K
200,2,5,400,200,1.0,1.0,1.5,0.5,0.7729720080648129,5.454963416146883e-41,0.9455171379284484,0.65,0.65,0.02,11,2,fixed_K
200,2,5,400,200,1.0,1.0,1.5,0.5,0.7717735361566447,8.60506600301276e-41,0.9502917572939326,0.5,0.5,0.02,11,3,fixed_K
200,2,5,400,200,1.0,1.0,1.5,0.5,0.7626367061942116,2.542456986397736e-39,0.9528613215330384,0.75,0.75,0.015,11,4,fixed_K
500,2,5,1000,200,1.0,1.0,1.5,0.2,0.7151917959930659,1.679927362139961e-79,0.9480943203772814,0.66,0.66,0.234,10,0,fixed_K
500,2,5,1000,200,1.0,1.0,1.5,0.2,0.7656576882308701,1.741845014233973e-97,0.9416094944379777,0.58,0.58,0.22,9,1,fixed_K
500,2,5,1000,200,1.0,1.0,1.5,0.2,0.7674946991213328,3.172355271542459e-98,0.9516452785811141,0.66,0.66,0.25,11,2,fixed_K
500,2,5,1000,200,1.0,1.0,1.5,0.2,0.7393592497190602,1.3645985742778907e-87,0.9487852351409404,0.56,0.56,0.244,10,3,fixed_K
500,2,5,1000,200,1.0,1.0,1.5,0.2,0.7847440471566652,1.6072602529311318e-105,0.9569266437065748,0.62,0.62,0.256,10,4,fixed_K
1000,2,5,2000,200,1.0,1.0,1.5,0.1,0.6393663791211397,4.9575415364240904e-116,0.9522760362760364,0.51,0.51,0.493,10,0,fixed_K
1000,2,5,2000,200,1.0,1.0,1.5,0.1,0.6614095335545089,8.068622496106913e-127,0.9457445737445739,0.55,0.55,0.482,9,1,fixed_K
1000,2,5,2000,200,1.0,1.0,1.5,0.1,0.6702105295961648,2.1803042217373248e-131,0.9495019335019336,0.48,0.48,0.474,7,2,fixed_K
1000,2,5,2000,200,1.0,1.0,1.5,0.1,0.6380517060061198,2.0458602415555213e-115,0.949107697107697,0.6,0.6,0.469,7,3,fixed_K
1000,2,5,2000,200,1.0,1.0,1.5,0.1,0.6113907678270369,1.4979630801194024e-103,0.9432571392571393,0.56,0.56,0.457,8,4,fixed_K
2000,2,5,4000,200,1.0,1.0,1.5,0.05,0.5555072869590034,2.5314647939919366e-162,0.9470294787573695,0.475,0.475,0.6775,7,0,fixed_K
2000,2,5,4000,200,1.0,1.0,1.5,0.05,0.5548959796580683,6.754364221413824e-162,0.9514020323505079,0.485,0.485,0.672,7,1,fixed_K
2000,2,5,4000,200,1.0,1.0,1.5,0.05,0.5336017391652057,1.3768039818498095e-147,0.949849716462429,0.45,0.45,0.679,9,2,fixed_K
2000,2,5,4000,200,1.0,1.0,1.5,0.05,0.5233897943324256,4.421749741907655e-141,0.9464621021155255,0.53,0.53,0.669,7,3,fixed_K
2000,2,5,4000,200,1.0,1.0,1.5,0.05,0.5684918663044798,1.3715011210638489e-171,0.9514380188595046,0.525,0.525,0.6635,7,4,fixed_K
5000,2,5,10000,200,1.0,1.0,1.5,0.02,0.42240688515888936,1.3377592536364462e-215,0.948907648836306,0.416,0.416,0.8428,7,0,fixed_K
5000,2,5,10000,200,1.0,1.0,1.5,0.02,0.4102611518664273,2.6137981817700517e-202,0.9480980952039236,0.412,0.412,0.8458,7,1,fixed_K
5000,2,5,10000,200,1.0,1.0,1.5,0.02,0.431503686736888,6.411289887414464e-226,0.9478019617840784,0.408,0.408,0.8446,6,2,fixed_K
5000,2,5,10000,200,1.0,1.0,1.5,0.02,0.4208585265749765,7.102435464807614e-214,0.9502164818806591,0.426,0.426,0.8436,7,3,fixed_K
5000,2,5,10000,200,1.0,1.0,1.5,0.02,0.39807263144013244,1.627740333933121e-189,0.9469283639571344,0.39,0.39,0.8426,6,4,fixed_K
10000,2,5,20000,200,1.0,1.0,1.5,0.01,0.33556330887629504,1.0427246230279073e-261,0.9476274379642744,0.392,0.392,0.9161,5,0,fixed_K
10000,2,5,20000,200,1.0,1.0,1.5,0.01,0.3362499043433527,7.735656757774164e-263,0.9502574121225741,0.392,0.392,0.9146,6,1,fixed_K
10000,2,5,20000,200,1.0,1.0,1.5,0.01,0.32941926472396627,9.976020852843069e-252,0.9507357139713571,0.378,0.378,0.9148,6,2,fixed_K
10000,2,5,20000,200,1.0,1.0,1.5,0.01,0.3180205132656221,8.181729257540804e-234,0.9486056003940561,0.355,0.355,0.9157,7,3,fixed_K
10000,2,5,20000,200,1.0,1.0,1.5,0.01,0.33302710006120634,1.4656582524977864e-257,0.9481529808615298,0.38,0.38,0.9133,5,4,fixed_K
20000,2,5,40000,200,1.0,1.0,1.5,0.005,0.249523505436262,1.5745941680703035e-281,0.9495356928848391,0.26,0.26,0.9547,5,0,fixed_K
20000,2,5,40000,200,1.0,1.0,1.5,0.005,0.25140990237530547,6.542530736528713e-286,0.9494129248400321,0.273,0.273,0.9546,5,1,fixed_K
20000,2,5,40000,200,1.0,1.0,1.5,0.005,0.25149662677464063,4.105984354536583e-286,0.9480567376021416,0.2695,0.2695,0.9554,5,2,fixed_K
20000,2,5,40000,200,1.0,1.0,1.5,0.005,0.26633620863628016,0.0,0.949538439497346,0.2895,0.2895,0.9545,5,3,fixed_K
20000,2,5,40000,200,1.0,1.0,1.5,0.005,0.26286828422646885,0.0,0.9497593043158982,0.287,0.287,0.95525,5,4,fixed_K
200,2,5,400,120,1.0,1.0,1.5,0.3,0.7553018025521366,3.4561528574544585e-38,0.9454691367284184,0.65,0.65,0.115,10,0,linear_K
200,2,5,400,120,1.0,1.0,1.5,0.3,0.698947064130729,1.2017627718271165e-30,0.928116702917573,0.6,0.6,0.095,10,1,linear_K
200,2,5,400,120,1.0,1.0,1.5,0.3,0.7417564646668972,3.386197074321135e-36,0.9288802220055503,0.6,0.6,0.11,11,2,linear_K
200,2,5,400,120,1.0,1.0,1.5,0.3,0.7450143550585624,1.1543285231265638e-36,0.9466526663166581,0.5,0.5,0.11,10,3,linear_K
200,2,5,400,120,1.0,1.0,1.5,0.3,0.8028061052817135,2.4025073799046182e-46,0.9605640141003526,0.55,0.55,0.095,10,4,linear_K
500,2,5,1000,300,1.0,1.0,1.5,0.3,0.760749259201741,1.5289259052497423e-95,0.9479139356557427,0.6,0.6,0.104,11,0,linear_K
500,2,5,1000,300,1.0,1.0,1.5,0.3,0.7836512133215877,4.8761318920109986e-105,0.9499679598718394,0.68,0.68,0.114,11,1,linear_K
500,2,5,1000,300,1.0,1.0,1.5,0.3,0.7531406980680697,1.276062190448339e-92,0.9489982599930399,0.54,0.54,0.11,10,2,linear_K
500,2,5,1000,300,1.0,1.0,1.5,0.3,0.7855739150294513,6.88953480253325e-106,0.9586666506666026,0.5,0.5,0.13,11,3,linear_K
500,2,5,1000,300,1.0,1.0,1.5,0.3,0.788408331803692,3.708305388589311e-107,0.9501301045204179,0.6,0.6,0.108,11,4,linear_K
1000,2,5,2000,600,1.0,1.0,1.5,0.3,0.7855918772140196,2.725803972707675e-210,0.9521160281160281,0.55,0.55,0.128,11,0,linear_K
1000,2,5,2000,600,1.0,1.0,1.5,0.3,0.7774937476411177,3.085215542494544e-203,0.9489334329334331,0.59,0.59,0.126,11,1,linear_K
1000,2,5,2000,600,1.0,1.0,1.5,0.3,0.7753021266693074,2.2246091883159064e-201,0.9497477897477898,0.6,0.6,0.114,11,2,linear_K
1000,2,5,2000,600,1.0,1.0,1.5,0.3,0.7807815140689193,4.5906828875036234e-206,0.950897522897523,0.65,0.65,0.127,11,3,linear_K
1000,2,5,2000,600,1.0,1.0,1.5,0.3,0.769434460978891,1.6580811903717601e-196,0.9528001608001608,0.61,0.61,0.126,11,4,linear_K
2000,2,5,4000,1200,1.0,1.0,1.5,0.3,0.7628516642386117,0.0,0.947255603813901,0.6,0.6,0.11,11,0,linear_K
2000,2,5,4000,1200,1.0,1.0,1.5,0.3,0.7709602657332182,0.0,0.9456278349069587,0.54,0.54,0.11,11,1,linear_K
2000,2,5,4000,1200,1.0,1.0,1.5,0.3,0.7694044079581555,0.0,0.9468784317196078,0.555,0.555,0.1265,11,2,linear_K
2000,2,5,4000,1200,1.0,1.0,1.5,0.3,0.7665759358459443,0.0,0.9482413935603484,0.57,0.57,0.1205,11,3,linear_K
2000,2,5,4000,1200,1.0,1.0,1.5,0.3,0.7653022796485744,0.0,0.9460216435054108,0.56,0.56,0.117,11,4,linear_K
5000,2,5,10000,3000,1.0,1.0,1.5,0.3,0.7679984157282018,0.0,0.9482256437850257,0.566,0.566,0.1174,11,0,linear_K
5000,2,5,10000,3000,1.0,1.0,1.5,0.3,0.7707969811671967,0.0,0.9465716601988663,0.558,0.558,0.1214,11,1,linear_K
5000,2,5,10000,3000,1.0,1.0,1.5,0.3,0.7708449146327948,0.0,0.9488464889618594,0.572,0.572,0.1096,11,2,linear_K
5000,2,5,10000,3000,1.0,1.0,1.5,0.3,0.7770065331265285,0.0,0.9477685058787402,0.532,0.532,0.1194,11,3,linear_K
5000,2,5,10000,3000,1.0,1.0,1.5,0.3,0.7705439341118808,0.0,0.9478881009555239,0.592,0.592,0.1188,11,4,linear_K
10000,2,5,20000,6000,1.0,1.0,1.5,0.3,0.7729749733604342,0.0,0.9489767494537675,0.557,0.557,0.1192,11,0,linear_K
10000,2,5,20000,6000,1.0,1.0,1.5,0.3,0.7705384303443911,0.0,0.9495531458315315,0.584,0.584,0.1164,11,1,linear_K
10000,2,5,20000,6000,1.0,1.0,1.5,0.3,0.774200766848497,0.0,0.9493840145298402,0.572,0.572,0.1139,11,2,linear_K
10000,2,5,20000,6000,1.0,1.0,1.5,0.3,0.7768248497209833,0.0,0.9486070268940703,0.541,0.541,0.1179,11,3,linear_K
10000,2,5,20000,6000,1.0,1.0,1.5,0.3,0.7667645647891962,0.0,0.9490664679706646,0.575,0.575,0.1187,11,4,linear_K
20000,2,5,40000,12000,1.0,1.0,1.5,0.3,0.7704752526777201,0.0,0.9497973287144932,0.5695,0.5695,0.11855,11,0,linear_K
20000,2,5,40000,12000,1.0,1.0,1.5,0.3,0.7778880739691808,0.0,0.9482045418995111,0.5595,0.5595,0.12205,11,1,linear_K
20000,2,5,40000,12000,1.0,1.0,1.5,0.3,0.7797629549992071,0.0,0.9491725134854312,0.5655,0.5655,0.1213,11,2,linear_K
20000,2,5,40000,12000,1.0,1.0,1.5,0.3,0.772993600137766,0.0,0.9483679240239197,0.5645,0.5645,0.1199,11,3,linear_K
20000,2,5,40000,12000,1.0,1.0,1.5,0.3,0.7755353468496562,0.0,0.9486071358330176,0.5675,0.5675,0.11925,11,4,linear_K
